#Release 13.4 - par O.87xd (lin64)
#Copyright (c) 1995-2011 Xilinx, Inc.  All rights reserved.

#Wed Oct 15 12:46:22 2014

#
## NOTE: This file is designed to be imported into a spreadsheet program
# such as Microsoft Excel for viewing, printing and sorting. The |
# character is used as the data field separator. This file is also designed
# to support parsing.
#
#INPUT FILE:       xdig.ncd
#OUTPUT FILE:      xdig_routed_pad.csv
#PART TYPE:        xc3s400an
#SPEED GRADE:      -4
#PACKAGE:          ftg256
#
# Pinout by Pin Number:
# 
# -----,-----,-----,-----,-----,-----,-----,-----,-----,-----,-----,-----,-----,-----,-----,
Pin Number,Signal Name,Pin Usage,Pin Name,Direction,IO Standard,IO Bank Number,Drive (mA),Slew Rate,Termination,IOB Delay,Voltage,Constraint,IO Register,Signal Integrity,
A1,,,GND,,,,,,,,,,,,
A2,,,PROG_B,,,,,,,,,,,,
A3,MCU_TRIGIN,IOB,IO_L19P_0,OUTPUT,LVCMOS33,0,12,SLOW,NONE**,,,LOCATED,NO,NONE,
A4,ANTSEL[1],IOB,IO_L18P_0,OUTPUT,LVCMOS33,0,12,SLOW,NONE**,,,LOCATED,YES,NONE,
A5,SYNC_IN,IBUF,IO_L17P_0,INPUT,LVCMOS33,0,,,,IBUF,,LOCATED,NO,NONE,
A6,CHAN_ENN[3],IBUF,IO_L15P_0,INPUT,LVCMOS33,0,,,,IBUF,,LOCATED,NO,NONE,
A7,I2C[4],IOB,IO_L13P_0,OUTPUT,LVCMOS33,0,12,SLOW,NONE**,,,LOCATED,NO,NONE,
A8,I2C[3],IOB,IO_L12P_0/GCLK10,OUTPUT,LVCMOS33,0,12,SLOW,NONE**,,,LOCATED,NO,NONE,
A9,I2CINT,IOB,IO_L10N_0/GCLK7,OUTPUT,LVCMOS33,0,12,SLOW,NONE**,,,LOCATED,NO,NONE,
A10,MOSI_IN,IBUF,IO_L08N_0,INPUT,LVCMOS33,0,,,,BOTH,,LOCATED,YES,NONE,
A11,SSEL[0],IBUF,IO_L07N_0,INPUT,LVCMOS33,0,,,,IBUF,,LOCATED,NO,NONE,
A12,DAC_SSELN,IBUF,IO_L05N_0,INPUT,LVCMOS33,0,,,,IBUF,,LOCATED,NO,NONE,
A13,,DIFFSTB,IO_L04N_0,UNUSED,,0,,,,,,,,,
A14,,DIFFMTB,IO_L04P_0,UNUSED,,0,,,,,,,,,
A15,,,TCK,,,,,,,,,,,,
A16,,,GND,,,,,,,,,,,,
B1,,,TDI,,,,,,,,,,,,
B2,,,TMS,,,,,,,,,,,,
B3,ANTSEL[2],IOB,IO_L19N_0,OUTPUT,LVCMOS33,0,12,SLOW,NONE**,,,LOCATED,YES,NONE,
B4,ANTSEL[0],IOB,IO_L18N_0,OUTPUT,LVCMOS33,0,12,SLOW,NONE**,,,LOCATED,YES,NONE,
B5,,,VCCO_0,,,0,,,,,3.30,,,,
B6,CHAN_ENN[2],IBUF,IO_L15N_0,INPUT,LVCMOS33,0,,,,IBUF,,LOCATED,NO,NONE,
B7,,,GND,,,,,,,,,,,,
B8,I2C[2],IOB,IO_L12N_0/GCLK11,OUTPUT,LVCMOS33,0,12,SLOW,NONE**,,,LOCATED,NO,NONE,
B9,,,VCCO_0,,,0,,,,,3.30,,,,
B10,MISO_OUT,IOB,IO_L08P_0,OUTPUT,LVCMOS33,0,12,SLOW,NONE**,,,LOCATED,NO,NONE,
B11,,,GND,,,,,,,,,,,,
B12,,DIFFMTB,IO_L05P_0,UNUSED,,0,,,,,,,,,
B13,,,VCCO_0,,,0,,,,,3.30,,,,
B14,EXTDIG_IN[3],IBUF,IO_L02N_0,INPUT,LVCMOS33,0,,,,IFD,,LOCATED,YES,NONE,
B15,EXTDIG_IN[2],IBUF,IO_L02P_0/VREF_0,INPUT,LVCMOS33,0,,,,IFD,,LOCATED,YES,NONE,
B16,,,TDO,,,,,,,,,,,,
C1,RF_ENN[1],IOB,IO_L01N_3,OUTPUT,LVCMOS33,3,12,SLOW,NONE**,,,LOCATED,NO,NONE,
C2,RF_ENN[2],IOB,IO_L01P_3,OUTPUT,LVCMOS33,3,12,SLOW,NONE**,,,LOCATED,NO,NONE,
C3,,,GND,,,,,,,,,,,,
C4,TRIG_INN[1],IBUF,IO_L20P_0/VREF_0,INPUT,LVCMOS33,0,,,,IBUF,,LOCATED,NO,NONE,
C5,SYNC_OUTX,IOB,IO_L17N_0,OUTPUT,LVCMOS33,0,12,SLOW,NONE**,,,LOCATED,NO,NONE,
C6,CHAN_ENN[4],IBUF,IO_L16N_0,INPUT,LVCMOS33,0,,,,IBUF,,LOCATED,NO,NONE,
C7,I2C[1],IOB,IO_L13N_0,OUTPUT,LVCMOS33,0,12,SLOW,NONE**,,,LOCATED,NO,NONE,
